id,country_id,name,code
201,Ecuador,AZUAY,201
202,Ecuador,BOLIVAR,202
203,Ecuador,CAÃ‘AR,203
204,Ecuador,CARCHI,204
206,Ecuador,CHIMBORAZO,206
205,Ecuador,COTOPAXI,205
107,Ecuador,EL ORO,107
108,Ecuador,ESMERALDAS,108
420,Ecuador,GALAPAGOS,420
109,Ecuador,GUAYAS,109
210,Ecuador,IMBABURA,210
211,Ecuador,LOJA,211
112,Ecuador,LOS RIOS,112
113,Ecuador,MANABI,113
314,Ecuador,MORONA SANTIAGO,314
315,Ecuador,NAPO,315
322,Ecuador,ORELLANA,322
316,Ecuador,PASTAZA,316
217,Ecuador,PICHINCHA,217
124,Ecuador,SANTA ELENA,124
223,Ecuador,SANTO DOMINGO DE LOS TSACHILAS,223
321,Ecuador,SUCUMBIOS,321
218,Ecuador,TUNGURAHUA,218
319,Ecuador,ZAMORA CHINCHIPE,319
